Id,Item,Price,Type,Quantity
1,Vegetable Spring Rolls,180,Veg,50
2,Stir-fried Tofu with Vegetables,220,Veg,60
3,Vegetable Manchurian,240,Veg,70
4,Vegetable Chow Mein,200,Veg,40
5,Paneer Butter Masala,320,Veg,56
6,Palak Paneer,300,Veg,78
7,Veg Biryani,280,Veg,43
8,Paneer Tikka Masala,340,Veg,65
9,Veg Fried Rice,250,Veg,78
10,Garlic Naan,40,Veg,98
11,Chicken Manchow Soup,220,Non-Veg,55
12,Chilli Chicken,320,Non Veg,39
13,Chicken Tikka Masala,350,Non-Veg,45
15,Chicken Fried Rice,300,Non-Veg,67
15,Fish Curry,380,Non-Veg,87
16,Prawn Masala,400,Non-Veg,39
17,Mutton Rogan Josh,420,Non-Veg,67
18,Lamb Biryani,450,Non-Veg,41
19,Tandoori Chicken,380,Non-Veg,60
20,Fish Fry,350,Non Veg,65
