Id,Item,Price,Type,Quantity
1,Dal Chawal Arancini,350,Veg,50
2,Mushroom Galouti,400,Veg,60
3,Dal Chawal Pakora,300,Veg,70
4,Tandoori Margherita Kulcha,280,Veg,40
5,Chole Kulcha Box,320,Veg,56
6,Farzi Caesar Salad,380,Veg,78
7,Amritsari Chole Bhatture,360,Veg,43
8,Paneer Tikka Masala,420,Veg,65
9,Dal Makhani,380,Veg,78
10,Paneer Makhani Biryani,450,Veg,98
11,Chicken Tikka Masala,480,Non Veg,55
12,Butter Chicken Biryani,520,Non Veg,43
13,Tandoori Chicken Wings,450,Non Veg,45
15,Prawn Balchao,550,Non-Veg,67
15,Goan Fish Curry,520,Non-Veg,87
16,Chicken Biryani,480,Non-Veg,45
17,Hyderabadi Chicken Dum Biryani,520,Non-Veg,67
18,Butter Garlic Prawns,550,Non-Veg,43
19,Amritsari Fish and Chips,520,Non-Veg,65
20,Lamb Rogan Josh,550,Non Veg,65
