Id,Item,Price,Veg/Non-Veg,Quantity
1,4 Cheese Margherita Pizza (Regular),249,Veg,50
2,Peri Peri Paneer Pizza (Regular),299,Veg,58
3,Chipotle Chicken Pizza (Regular),349,Non-Veg,70
4,Country Side Chicken Pizza (Regular),399,Non-Veg,40
5,BBQ Chicken Pizza (Regular),349,Non-Veg,56
6,Cheese Burst Pizza (Regular),299,Veg,78
7,Pepper BBQ Chicken Pizza (Regular),379,Non-Veg,43
8,Spicy Tandoori Paneer Pizza (Regular),299,Veg,65
9,El Mexicana Pizza (Regular),349,Veg,78
10,Peri Peri Chicken Pizza (Regular),399,Non-Veg,98
11,Classic Chicken Supreme Pizza (Regular),349,Non-Veg,55
12,American Heat Pizza (Regular),349,Non-Veg,43
13,Veg Extravaganza Pizza (Regular),299,Veg,45
14,Farm Fresh Pizza (Regular),349,Veg,67
15,Paneer Overload Pizza (Regular),349,Veg,87
16,Chicken Overload Pizza (Regular),399,Non-Veg,45
17,Double Cheese Margherita Pizza (Regular),229,Veg,67
18,Ultimate Cheese Pizza (Regular),349,Veg,43
19,Mexican Wave Pizza (Regular),349,Veg,65
20,Spiced Paneer Pizza (Regular),299,Veg,65
