Id,Item,Price,Veg/Non-Veg,Quantity
1,Original Glazed Doughnut,50,Veg,50
2,Chocolate Glazed Doughnut,60,Veg,58
3,Strawberry Glazed Doughnut,60,Veg,70
4,Caramel Glazed Doughnut,60,Veg,4
5,Classic Original Filled Doughnut,70,Veg,43
6,Chocolate Iced with Sprinkles Doughnut,65,Veg,69
7,Glazed Raspberry Filled Doughnut,70,Veg,43
8,Glazed Lemon Filled Doughnut,70,Veg,65
9,New York Cheesecake Doughnut,75,Veg,78
10,Chocolate Custard Filled Doughnut,75,Veg,87
11,Kreme Filled Doughnut,70,Veg,52
12,Apple Cinnamon Filled Doughnut,70,Veg,36
13,Cookies and Kreme Doughnut,75,Veg,45
14,Red Velvet Cake Doughnut,80,Veg,67
15,Maple Iced Glazed Doughnut,65,Veg,84
16,Cinnamon Apple Doughnut,75,Veg,45
17,Strawberry Shortcake Doughnut,80,Veg,67
18,Blueberry Cake Doughnut,70,Veg,40
19,Chocolate Glazed Cruller Doughnut,70,Veg,57
20,Original Glazed Cruller Doughnut,65,Veg,65
