Id,Item,Price,Veg/Non-Veg,Quantity
1,Masala Dosa,80,Veg,50
2,Idli Sambhar,60,Veg,40
3,Vada Sambhar,70,Veg,68
4,Plain Dosa,70,Veg,39
5,Onion Uttapam,90,Veg,56
6,Rava Masala Dosa,100,Veg,78
7,Mysore Masala Dosa,90,Veg,43
8,Pongal,80,Veg,65
9,Vegetable Upma,70,Veg,78
10,Ghee Roast Dosa,90,Veg,98
11,Rava Idli Sambhar,80,Veg,55
12,Set Dosa,80,Veg,43
13,Poori Bhaji,90,Veg,45
14,Paper Dosa,100,Veg,67
15,Medu Vada,60,Veg,63
16,Rava Kesari,50,Veg,45
17,Rava Upma,70,Veg,67
18,Tomato Uttapam,90,Veg,39
19,Ghee Pongal,90,Veg,63
20,Kesari Bath,60,Veg,65
