Id,Item,Price,Veg/Non-Veg,Quantity
1,Whopper Burger,149,Non-Veg,50
2,Big King XL Burger,199,Non-Veg,57
3,Paneer King Melt Burger,139,Veg,68
4,Crispy Veg Supreme Burger,99,Veg,40
5,Chicken Tandoor Grill Burger,129,Non-Veg,56
6,Veggie Strips Burger,79,Veg,78
7,Grilled Chicken Burger,119,Non-Veg,43
8,BK Veggie Burger,89,Veg,65
9,Chicken Chilli Cheese Burger,139,Non-Veg,78
10,Paneer King Burger,129,Veg,98
11,BBQ Bacon King Burger,219,Non-Veg,55
12,Cheese Melt Veg Burger,109,Veg,41
13,Mutton Whopper Burger,179,Non-Veg,45
14,Crispy Chicken Supreme Burger,129,Non-Veg,67
15,Fiery Chicken Burger,139,Non-Veg,87
16,Jalapeno King Burger,149,Non-Veg,45
17,Bacon King Burger,209,Non-Veg,67
18,Cheese Lover Veg Burger,119,Veg,41
19,Spicy Paneer Burger,119,Veg,65
20,Angriest Whopper Burger,199,Non-Veg,65
